CMDLINE /Users/andrea/anaconda3/envs/General/bin/python3.11 main.py
MEM 2546.343750 1763672321.4282
MEM 2546.343750 1763672321.5288
MEM 2546.343750 1763672321.6333
MEM 2546.343750 1763672321.7383
MEM 2546.343750 1763672321.8434
MEM 2546.343750 1763672321.9485
MEM 2546.343750 1763672322.0535
MEM 2546.343750 1763672322.1586
MEM 2546.343750 1763672322.2637
MEM 2546.343750 1763672322.3687
MEM 2546.343750 1763672322.4738
MEM 2546.343750 1763672322.5788
MEM 2546.343750 1763672322.6838
MEM 2546.343750 1763672322.7889
MEM 2546.343750 1763672322.8892
MEM 2546.343750 1763672322.9942
MEM 2546.343750 1763672323.0951
MEM 2546.343750 1763672323.2001
MEM 2546.343750 1763672323.3052
MEM 2546.343750 1763672323.4102
MEM 2546.343750 1763672323.5152
MEM 2546.343750 1763672323.6203
MEM 2546.343750 1763672323.7254
MEM 2546.343750 1763672323.8304
MEM 2546.343750 1763672323.9355
MEM 2546.343750 1763672324.0357
MEM 2546.343750 1763672324.1407
MEM 2546.343750 1763672324.2457
MEM 2546.343750 1763672324.3508
MEM 2546.343750 1763672324.4512
MEM 2546.343750 1763672324.5563
MEM 2546.343750 1763672324.6604
MEM 2546.343750 1763672324.7655
MEM 2546.343750 1763672324.8674
MEM 2546.343750 1763672324.9725
MEM 2546.343750 1763672325.0776
MEM 2546.343750 1763672325.1826
MEM 2546.343750 1763672325.2870
MEM 2546.343750 1763672325.3920
MEM 2546.343750 1763672325.4971
MEM 2546.343750 1763672325.6022
MEM 2546.343750 1763672325.7073
MEM 2546.343750 1763672325.8124
MEM 2546.343750 1763672325.9127
MEM 2546.343750 1763672326.0178
MEM 2546.343750 1763672326.1228
MEM 2546.343750 1763672326.2279
MEM 2546.343750 1763672326.3313
MEM 2546.343750 1763672326.4328
MEM 2546.343750 1763672326.5378
MEM 2546.343750 1763672326.6428
MEM 2546.343750 1763672326.7479
MEM 2546.343750 1763672326.8504
MEM 2546.343750 1763672326.9555
MEM 2546.343750 1763672327.0605
MEM 2546.343750 1763672327.1655
MEM 2546.343750 1763672327.2706
MEM 2546.343750 1763672327.3756
MEM 2546.343750 1763672327.4807
MEM 2546.343750 1763672327.5857
MEM 2546.343750 1763672327.6908
MEM 2546.343750 1763672327.7958
MEM 2546.343750 1763672327.9008
MEM 2546.343750 1763672328.0059
MEM 2546.343750 1763672328.1106
MEM 2546.343750 1763672328.2157
MEM 2546.343750 1763672328.3208
MEM 2546.343750 1763672328.4248
MEM 2546.343750 1763672328.5299
MEM 2546.343750 1763672328.6349
MEM 2546.343750 1763672328.7400
MEM 2546.343750 1763672328.8450
MEM 2546.343750 1763672328.9454
MEM 2546.343750 1763672329.0491
MEM 2546.343750 1763672329.1541
MEM 2546.343750 1763672329.2593
MEM 2546.343750 1763672329.3644
MEM 2546.343750 1763672329.4696
MEM 2546.343750 1763672329.5747
MEM 2546.343750 1763672329.6763
MEM 2546.343750 1763672329.7774
MEM 2546.343750 1763672329.8825
MEM 2546.343750 1763672329.9858
MEM 2546.343750 1763672330.0909
MEM 2546.343750 1763672330.1913
MEM 2546.343750 1763672330.2957
MEM 2546.343750 1763672330.4007
MEM 2546.343750 1763672330.5040
MEM 2546.343750 1763672330.6090
MEM 2546.343750 1763672330.7140
MEM 2546.343750 1763672330.8191
MEM 2546.343750 1763672330.9241
MEM 2546.343750 1763672331.0243
MEM 2546.343750 1763672331.1254
MEM 2546.343750 1763672331.2305
MEM 2546.343750 1763672331.3355
MEM 2546.343750 1763672331.4372
MEM 2546.343750 1763672331.5411
MEM 2546.343750 1763672331.6458
MEM 2546.343750 1763672331.7508
MEM 2546.343750 1763672331.8559
MEM 2546.343750 1763672331.9601
MEM 2546.343750 1763672332.0652
MEM 2546.343750 1763672332.1703
MEM 2546.343750 1763672332.2753
MEM 2546.343750 1763672332.3804
MEM 2546.343750 1763672332.4854
MEM 2546.343750 1763672332.5904
MEM 2546.343750 1763672332.6955
MEM 2546.343750 1763672332.8005
MEM 2546.343750 1763672332.9056
MEM 2546.343750 1763672333.0106
MEM 2546.343750 1763672333.1157
